,city_ascii,lat,lng,admin_name,population
6861,Koja,26.3344,127.8057,Okinawa,58658.0
6863,Nonoichi,36.5194,136.6098,Ishikawa,57090.0
6882,Takaishi,34.5167,135.45,Osaka,55910.0
6903,Zushi,35.2833,139.5833,Kanagawa,56996.0
6935,Hamura,35.7672,139.3109,Saitama,53970.0
6979,Shijonawate,34.74,135.6394,Osaka,55094.0
7056,Fuchu,34.3926,132.5045,Hiroshima,51096.0
7090,Shiogama,38.3144,141.022,Miyagi,51999.0
7113,Shiraoka,36.0191,139.6769,Saitama,52103.0
7165,Iwakura,35.2794,136.8714,Aichi,47975.0
7170,Takahama,34.9275,136.9878,Aichi,48685.0
7177,Suzukawa,35.373,139.3839,Kanagawa,48532.0
7210,Kasuya,33.6108,130.4806,Fukuoka,47981.0
7351,Inuma,36.0001,139.6242,Saitama,45065.0
7408,Togo,35.0966,137.0525,Aichi,44065.0
7423,Kumatori,34.4014,135.3558,Osaka,43570.0
7509,Katsuren-haebaru,26.1911,127.7285,Okinawa,40541.0
7526,Oizumi,36.2478,139.4049,Gunma,41681.0
7616,Nakama,33.8208,130.7083,Fukuoka,39634.0
7683,Miyoshidai,35.8284,139.5265,Saitama,38380.0
7726,Kanie,35.1322,136.7868,Aichi,36782.0
7870,Oharu,35.1751,136.8201,Aichi,32590.0
7873,Harima,34.7167,134.8667,Hyogo,33822.0
7879,Aizumi,34.1266,134.4951,Tokushima,35269.0
7886,Fuso,35.3591,136.9132,Aichi,34268.0
7901,Nishihara,26.2228,127.7589,Okinawa,34802.0
7967,Minamishiro,36.0227,139.7227,Saitama,34012.0
7999,Koryo,34.55,135.75,Nara,33617.0
8269,Kaita,34.3722,132.536,Hiroshima,29793.0
8374,Ninomiya,35.2995,139.2555,Kanagawa,27536.0
8389,Mizumaki,33.8548,130.695,Fukuoka,27822.0
8402,Chatan,26.32,127.7639,Okinawa,28167.0
8506,Ginan,35.3896,136.7825,Gifu,25752.0
8661,Oji,34.5947,135.7066,Nara,23731.0
8763,Sanga,34.6002,135.6955,Osaka,23264.0
8832,Kitajima,34.1256,134.547,Tokushima,22670.0
8903,Kasamatsucho,35.3672,136.7632,Gifu,22415.0
8904,Kanmaki,34.5627,135.7167,Nara,21145.0
9012,Yonabaru,26.1995,127.7548,Okinawa,19735.0
9044,Showa,35.6279,138.5351,Yamanashi,20857.0
9189,Kitagata,35.4358,136.6844,Gifu,18308.0
9247,Utazu,34.3106,133.8256,Kagawa,18897.0
